,Position,Player,Salary,Opponent,AvgPointsPerGame,Team,PlayerID
368,TE,Kyle Nelson,2500,SF@PHI 10/29/2017 01:00PM ET,0.0,SF,00-0028374
369,TE,Garrett Celek,2500,SF@PHI 10/29/2017 01:00PM ET,2.1,SF,00-0028903
370,TE,Trey Burton,2500,SF@PHI 10/29/2017 01:00PM ET,2.557,PHI,00-0030710
371,TE,Cole Hikutini,2500,SF@PHI 10/29/2017 01:00PM ET,0.75,SF,00-0033315
372,TE,Luke Stocker,2500,CAR@TB 10/29/2017 01:00PM ET,0.25,TB,00-0028042
373,TE,Chris Manhertz,2500,CAR@TB 10/29/2017 01:00PM ET,0.3,CAR,00-0031484
374,TE,Antony Auclair,2500,CAR@TB 10/29/2017 01:00PM ET,0.0,TB,00-0033421
375,TE,Tyler Ott,2500,HOU@SEA 10/29/2017 04:05PM ET,0.0,SEA,00-0031156
376,TE,Nick Vannett,2500,HOU@SEA 10/29/2017 04:05PM ET,1.083,SEA,00-0032394
377,TE,Niles Paul,2500,DAL@WAS 10/29/2017 04:25PM ET,0.8,WAS,00-0028093
378,TE,James Hanna,2500,DAL@WAS 10/29/2017 04:25PM ET,1.633,DAL,00-0029634
379,TE,Jeremy Sprinkle,2500,DAL@WAS 10/29/2017 04:25PM ET,0.0,WAS,00-0033528
380,TE,Rico Gathers,2500,DAL@WAS 10/29/2017 04:25PM ET,0.0,DAL,00-0033054
381,TE,Geoff Swaim,2500,DAL@WAS 10/29/2017 04:25PM ET,0.28300000000000003,DAL,00-0032141
382,TE,Darren Fells,2500,PIT@DET 10/29/2017 08:30PM ET,6.35,DET,00-0029738
383,TE,Xavier Grimble,2500,PIT@DET 10/29/2017 08:30PM ET,0.36700000000000005,PIT,00-0031035
384,TE,Michael Roberts,2500,PIT@DET 10/29/2017 08:30PM ET,0.41700000000000004,DET,00-0033559
385,DST,Patriots ,2400,LAC@NE 10/29/2017 01:00PM ET,5.0,NE,
386,DST,Redskins ,2400,DAL@WAS 10/29/2017 04:25PM ET,7.667000000000001,WAS,
387,DST,Browns ,2300,MIN@CLE 10/29/2017 09:30AM ET,5.7139999999999995,CLE,
388,DST,Colts ,2300,IND@CIN 10/29/2017 01:00PM ET,5.7139999999999995,IND,
389,DST,Cowboys ,2300,DAL@WAS 10/29/2017 04:25PM ET,6.332999999999999,DAL,
390,DST,Jets ,2200,ATL@NYJ 10/29/2017 01:00PM ET,5.143,NYJ,
391,DST,49ers ,2100,SF@PHI 10/29/2017 01:00PM ET,3.8569999999999998,SF,
