Player,Position,Team,Opponent,ESPN_FantasyPoints
Mike Wallace,WR,BAL,Mia,8.8
Kai Forbath,K,MIN,Cle,8.8
Martavis Bryant,WR,PIT,Det,8.7
Isaiah Crowell,RB,CLE,Min,8.7
Kyle Rudolph,TE,MIN,Cle,8.6
Giovani Bernard,RB,CIN,Ind,8.6
Stephen Hauschka,K,BUF,Oak,8.6
Graham Gano,K,CAR,TB,8.6
Taylor Gabriel,WR,ATL,NYJ,8.6
Chris Boswell,K,PIT,Det,8.6
Danny Amendola,WR,NE,LAC,8.6
Ricardo Louis,WR,CLE,Min,8.5
Wil Lutz,K,NO,Chi,8.5
Matt Prater,K,DET,Pit,8.5
Matt Bryant,K,ATL,NYJ,8.4
Kendall Wright,WR,CHI,NO,8.3
Ed Dickson,TE,CAR,TB,8.3
Donte Moncrief,WR,IND,Cin,8.3
Terrance Williams,WR,DAL,Wsh,8.3
Tyler Kroft,TE,CIN,Ind,8.3
Tyrell Williams,WR,LAC,NE,8.3
Paul Richardson,WR,SEA,Hou,8.3
Randy Bullock,K,CIN,Ind,8.2
Brandon LaFell,WR,CIN,Ind,8.1
Willie Snead,WR,NO,Chi,8.1
Kenny Stills,WR,MIA,Bal,8
Austin Hooper,TE,ATL,NYJ,8
Vernon Davis,TE,WSH,Dal,8
Patrick Murray,K,TB,Car,7.9
Ted Ginn Jr.,WR,NO,Chi,7.9
JuJu Smith-Schuster,WR,PIT,Det,7.9
Chandler Catanzaro,K,NYJ,Atl,7.7
Ravens,DST,RAVENS,Mia,7.7
Blair Walsh,K,SEA,Hou,7.7
Jack Doyle,TE,IND,Cin,7.6
Austin Ekeler,RB,LAC,NE,7.6
Chiefs,DST,CHIEFS,Den,7.5
Marlon Mack,RB,IND,Cin,7.5
Albert Wilson,WR,KC,Den,7.5
Saints,DST,SAINTS,Chi,7.4
TJ Jones,WR,DET,Pit,7.4
Seahawks,DST,SEAHAWKS,Hou,7.2
Robbie Gould,K,SF,Phi,7.2
Steelers,DST,STEELERS,Det,7.1
Cody Parkey,K,MIA,Bal,7.1
Brandon McManus,K,DEN,KC,7.1
Falcons,DST,FALCONS,NYJ,7
George Kittle,TE,SF,Phi,7
Giorgio Tavecchio,K,OAK,Buf,6.9
Nick Novak,K,LAC,NE,6.9
Ryan Griffin,TE,HOU,Sea,6.9
Julius Thomas,TE,MIA,Bal,6.8
Ryan Grant,WR,WSH,Dal,6.8
Ka'imi Fairbairn,K,HOU,Sea,6.8
Jeremy Kerley,WR,NYJ,Atl,6.8
Zay Jones,WR,BUF,Oak,6.8
Mike Gillislee,RB,NE,LAC,6.7
Benjamin Watson,TE,BAL,Mia,6.7
Matt Breida,RB,SF,Phi,6.7
A.J. Derby,TE,DEN,KC,6.7
Dolphins,DST,DOLPHINS,Bal,6.6
Nick O'Leary,TE,BUF,Oak,6.6
Panthers,DST,PANTHERS,TB,6.6
Adam Vinatieri,K,IND,Cin,6.5
Mike Nugent,K,NYG,** BYE **,--
Adam Humphries,WR,TB,Car,6.5
Thomas Rawls,RB,SEA,Hou,6.5
Jesse James,TE,PIT,Det,6.5
Coby Fleener,TE,NO,Chi,6.4
Trent Taylor,WR,SF,Phi,6.4
Eric Ebron,TE,DET,Pit,6.4
Eddie Lacy,RB,SEA,Hou,6.2
Tre McBride III,WR,CHI,NO,6.1
Jordan Taylor,WR,DEN,KC,6.1
Texans,DST,TEXANS,Sea,6
Buccaneers,DST,BUCCANEERS,Car,6
Patriots,DST,PATRIOTS,LAC,5.9
Mike Tolbert,RB,BUF,Oak,5.8
Seth Roberts,WR,OAK,Buf,5.8
Connor Barth,K,CHI,NO,5.8
Kenny Britt,WR,CLE,Min,5.7
Breshad Perriman,WR,BAL,Mia,5.7
Tanner Gentry,WR,CHI,NO,5.7
Charles Sims,RB,TB,Car,5.6
O.J. Howard,TE,TB,Car,5.6
Bills,DST,BILLS,Oak,5.6
Jamaal Charles,RB,DEN,KC,5.4
C.J. Prosise,RB,SEA,Hou,5.4
Bruce Ellington,WR,HOU,Sea,5.4
Broncos,DST,BRONCOS,KC,5.4
Darren Fells,TE,DET,Pit,5.4
Stephen Anderson,TE,HOU,Sea,5.4
Torrey Smith,WR,PHI,SF,5.3
Browns,DST,BROWNS,Min,5.1
Lions,DST,LIONS,Pit,5.1
Cowboys,DST,COWBOYS,Wsh,5.1
Zane Gonzalez,K,CLE,Min,5.1
Seth DeValve,TE,CLE,Min,5
David Njoku,TE,CLE,Min,5
Rashard Higgins,WR,CLE,Min,4.9
Bears,DST,BEARS,NO,4.9
Antonio Gates,TE,LAC,NE,4.8
Mike Williams,WR,LAC,NE,4.7
Brandon Coleman,WR,NO,Chi,4.7
D'Onta Foreman,RB,HOU,Sea,4.7
Charcandrick West,RB,KC,Den,4.7
Raiders,DST,RAIDERS,Buf,4.6
Jeremy Hill,RB,CIN,Ind,4.6
Dion Sims,TE,CHI,NO,4.6
Rex Burkhead,RB,NE,LAC,4.5
Redskins,DST,REDSKINS,Dal,4.4
Jared Abbrederis,WR,DET,Pit,4.4
Russell Shepard,WR,CAR,TB,4.4
Kyle Juszczyk,RB,SF,Phi,4.4
Travis Benjamin,WR,LAC,NE,4.4
Michael Campanaro,WR,BAL,Mia,4.3
Virgil Green,TE,DEN,KC,4.3
Colts,DST,COLTS,Cin,4.3
Kasen Williams,WR,CLE,Min,4.3
Andre Holmes,WR,BUF,Oak,4.2
Devontae Booker,RB,DEN,KC,4.2
Terrelle Pryor Sr.,WR,WSH,Dal,4.1
John Ross,WR,CIN,Ind,4.1
49ers,DST,49ERS,Phi,4.1
Kamar Aiken,WR,IND,Cin,4
Demarcus Robinson,WR,KC,Den,4
Aldrick Robinson,WR,SF,Phi,4
Laquon Treadwell,WR,MIN,Cle,3.8
Cordarrelle Patterson,WR,OAK,Buf,3.8
Chargers,DST,CHARGERS,NE,3.7
Jets,DST,JETS,Atl,3.6
Brice Butler,WR,DAL,Wsh,3.5
Damien Williams,RB,MIA,Bal,3.5
Logan Thomas,TE,BUF,Oak,3.4
Cody Latimer,WR,DEN,KC,3.3
Corey Clement,RB,PHI,SF,3.3
Elijah McGuire,RB,NYJ,Atl,3.2
Nick Boyle,TE,BAL,Mia,3.2
Chester Rogers,WR,IND,Cin,3.2
Isaiah McKenzie,WR,DEN,KC,3.2
Vance McDonald,TE,PIT,Det,2.9
Dwayne Washington,RB,DET,Pit,2.8
Joshua Bellamy,WR,CHI,NO,2.8
Cody Core,WR,CIN,Ind,2.7
Amara Darboh,WR,SEA,Hou,2.7
Michael Hoomanawanui,TE,NO,Chi,2.7
Bryce Treggs,WR,CLE,Min,2.6
Curtis Samuel,WR,CAR,TB,2.6
Demetrius Harris,TE,KC,Den,2.5
Alfred Morris,RB,DAL,Wsh,2.5
Michael Floyd,WR,MIN,Cle,2.4
Justin Hunter,WR,PIT,Det,2.3
Luke Willson,TE,SEA,Hou,2.3
Trey Burton,TE,PHI,SF,2.3
Jacquizz Rodgers,RB,TB,Car,2.3
Mack Hollins,WR,PHI,SF,2.3
Alex Erickson,WR,CIN,Ind,2.2
James Conner,RB,PIT,Det,2.2
ArDarius Stewart,WR,NYJ,Atl,2.2
Justin Hardy,WR,ATL,NYJ,2.2
De'Anthony Thomas,WR,KC,Den,2.2
Kenyan Drake,RB,MIA,Bal,2.2
Maxx Williams,TE,BAL,Mia,2
J.D. McKissic,RB,SEA,Hou,1.9
Deonte Thompson,WR,BUF,Oak,1.9
Eli Rogers,WR,PIT,Det,1.7
Chris Thompson,WR,HOU,Sea,1.7
Samaje Perine,RB,WSH,Dal,1.7
James Hanna,TE,DAL,Wsh,1.7
Patrick DiMarco,RB,BUF,Oak,1.6
Benny Cunningham,RB,CHI,NO,1.3
Josh Hill,TE,NO,Chi,1.3
Josh Ferguson,RB,IND,Cin,1.3
Brent Celek,TE,PHI,SF,1.2
Tommylee Lewis,WR,NO,Chi,1.2
Fozzy Whittaker,RB,CAR,TB,1.2
Jeff Heuerman,TE,DEN,KC,1.2
Niles Paul,TE,WSH,Dal,1.2
Lee Smith,TE,OAK,Buf,1.2
Darrius Heyward-Bey,WR,PIT,Det,1.1
Chris Godwin,WR,TB,Car,1.1
C.J. Uzomah,TE,CIN,Ind,1.1
Levine Toilolo,TE,ATL,NYJ,1.1
Cole Hikutini,TE,SF,Phi,1.1
Marcus Johnson,WR,PHI,SF,1.1
Garrett Celek,TE,SF,Phi,1.1
Alfred Blue,RB,HOU,Sea,1.1
Nick Vannett,TE,SEA,Hou,1.1
Jakeem Grant,WR,MIA,Bal,1.1
Chris Matthews,WR,BAL,Mia,1.1
Ross Travis,TE,KC,Den,1
Brandon Williams,TE,IND,Cin,0.9
Darrell Daniels,TE,IND,Cin,0.9
Bobby Rainey Jr.,RB,BAL,Mia,0.9
Rod Smith,RB,DAL,Wsh,0.7
Jamize Olawale,RB,OAK,Buf,0.7
C.J. Ham,RB,MIN,Cle,0.7
Michael Roberts,TE,DET,Pit,0.6
Dwayne Allen,TE,NE,LAC,0.6
Matthew Dayes,RB,CLE,Min,0.6
Chris Manhertz,TE,CAR,TB,0.6
Quan Bray,WR,IND,Cin,0.6
Geoff Swaim,TE,DAL,Wsh,0.6
Clive Walford,TE,OAK,Buf,0.6
Cethan Carter,TE,CIN,Ind,0.6
Nick Williams,WR,ATL,NYJ,0.6
Bernard Reedy,WR,TB,Car,0.5
Eric Tomlinson,TE,NYJ,Atl,0.5
Jordan Leggett,TE,NYJ,Atl,0.5
Phillip Dorsett,WR,NE,LAC,0.5
Chad Hansen,WR,NYJ,Atl,0.5
